"county","year","var_name","magnitude","temporal","value","category"
"Carlow","2011","All types of sewerage","absolute total","static",19365,"sewerage"
"Carlow","2011","Individual septic tank","absolute total","static",6260,"sewerage"
"Carlow","2011","Individual treatment not septic tank","absolute total","static",825,"sewerage"
"Carlow","2011","No sewerage facility","absolute total","static",30,"sewerage"
"Carlow","2011","Not stated","absolute total","static",730,"sewerage"
"Carlow","2011","Other type of sewage","absolute total","static",105,"sewerage"
"Carlow","2011","Public scheme","absolute total","static",11415,"sewerage"
"Carlow","2011","built_all","absolute total","static",19365,"built"
"Carlow","2011","built_none","absolute total","static",1007,"built"
"Carlow","2011","built_p19_70","absolute total","static",5666,"built"
"Carlow","2011","built_p2016","absolute total","static",0,"built"
"Carlow","2011","built_y70_90","absolute total","static",4029,"built"
"Carlow","2011","built_y91_15","absolute total","static",8663,"built"
"Carlow","2011","house_all","absolute total","static",19365,"house_type"
"Carlow","2011","house_apart","absolute total","static",904,"house_type"
"Carlow","2011","house_detach","absolute total","static",10003,"house_type"
"Carlow","2011","house_none","absolute total","static",410,"house_type"
"Carlow","2011","house_scheme","absolute total","static",8048,"house_type"
"Carlow","2011","tenure_all","absolute total","static",19365,"tenure"
"Carlow","2011","tenure_mort","absolute total","static",6669,"tenure"
"Carlow","2011","tenure_other","absolute total","static",628,"tenure"
"Carlow","2011","tenure_owner","absolute total","static",7015,"tenure"
"Carlow","2011","tenure_rent","absolute total","static",3064,"tenure"
"Carlow","2011","tenure_social","absolute total","static",1989,"tenure"
"Cavan","2011","All types of sewerage","absolute total","static",25720,"sewerage"
"Cavan","2011","Individual septic tank","absolute total","static",12078,"sewerage"
"Cavan","2011","Individual treatment not septic tank","absolute total","static",2240,"sewerage"
"Cavan","2011","No sewerage facility","absolute total","static",98,"sewerage"
"Cavan","2011","Not stated","absolute total","static",913,"sewerage"
"Cavan","2011","Other type of sewage","absolute total","static",159,"sewerage"
"Cavan","2011","Public scheme","absolute total","static",10232,"sewerage"
"Cavan","2011","built_all","absolute total","static",25720,"built"
"Cavan","2011","built_none","absolute total","static",941,"built"
"Cavan","2011","built_p19_70","absolute total","static",7330,"built"
"Cavan","2011","built_p2016","absolute total","static",0,"built"
"Cavan","2011","built_y70_90","absolute total","static",4702,"built"
"Cavan","2011","built_y91_15","absolute total","static",12747,"built"
"Cavan","2011","house_all","absolute total","static",25720,"house_type"
"Cavan","2011","house_apart","absolute total","static",920,"house_type"
"Cavan","2011","house_detach","absolute total","static",17319,"house_type"
"Cavan","2011","house_none","absolute total","static",492,"house_type"
"Cavan","2011","house_scheme","absolute total","static",6989,"house_type"
"Cavan","2011","tenure_all","absolute total","static",25720,"tenure"
"Cavan","2011","tenure_mort","absolute total","static",9174,"tenure"
"Cavan","2011","tenure_other","absolute total","static",922,"tenure"
"Cavan","2011","tenure_owner","absolute total","static",9908,"tenure"
"Cavan","2011","tenure_rent","absolute total","static",3893,"tenure"
"Cavan","2011","tenure_social","absolute total","static",1823,"tenure"
"Clare","2011","All types of sewerage","absolute total","static",42534,"sewerage"
"Clare","2011","Individual septic tank","absolute total","static",17121,"sewerage"
"Clare","2011","Individual treatment not septic tank","absolute total","static",2260,"sewerage"
"Clare","2011","No sewerage facility","absolute total","static",148,"sewerage"
"Clare","2011","Not stated","absolute total","static",1376,"sewerage"
"Clare","2011","Other type of sewage","absolute total","static",388,"sewerage"
"Clare","2011","Public scheme","absolute total","static",21241,"sewerage"
"Clare","2011","built_all","absolute total","static",42534,"built"
"Clare","2011","built_none","absolute total","static",1675,"built"
"Clare","2011","built_p19_70","absolute total","static",12068,"built"
"Clare","2011","built_p2016","absolute total","static",0,"built"
"Clare","2011","built_y70_90","absolute total","static",10500,"built"
"Clare","2011","built_y91_15","absolute total","static",18291,"built"
"Clare","2011","house_all","absolute total","static",42534,"house_type"
"Clare","2011","house_apart","absolute total","static",2003,"house_type"
"Clare","2011","house_detach","absolute total","static",25180,"house_type"
"Clare","2011","house_none","absolute total","static",691,"house_type"
"Clare","2011","house_scheme","absolute total","static",14660,"house_type"
"Clare","2011","tenure_all","absolute total","static",42534,"tenure"
"Clare","2011","tenure_mort","absolute total","static",15493,"tenure"
"Clare","2011","tenure_other","absolute total","static",1414,"tenure"
"Clare","2011","tenure_owner","absolute total","static",16913,"tenure"
"Clare","2011","tenure_rent","absolute total","static",6056,"tenure"
"Clare","2011","tenure_social","absolute total","static",2658,"tenure"
"Cork City and Cork County","2011","All types of sewerage","absolute total","static",187555,"sewerage"
"Cork City and Cork County","2011","Individual septic tank","absolute total","static",52438,"sewerage"
"Cork City and Cork County","2011","Individual treatment not septic tank","absolute total","static",4902,"sewerage"
"Cork City and Cork County","2011","No sewerage facility","absolute total","static",375,"sewerage"
"Cork City and Cork County","2011","Not stated","absolute total","static",6118,"sewerage"
"Cork City and Cork County","2011","Other type of sewage","absolute total","static",1239,"sewerage"
"Cork City and Cork County","2011","Public scheme","absolute total","static",122483,"sewerage"
"Cork City and Cork County","2011","built_all","absolute total","static",187555,"built"
"Cork City and Cork County","2011","built_none","absolute total","static",9943,"built"
"Cork City and Cork County","2011","built_p19_70","absolute total","static",62607,"built"
"Cork City and Cork County","2011","built_p2016","absolute total","static",0,"built"
"Cork City and Cork County","2011","built_y70_90","absolute total","static",41962,"built"
"Cork City and Cork County","2011","built_y91_15","absolute total","static",73043,"built"
"Cork City and Cork County","2011","house_all","absolute total","static",187555,"house_type"
"Cork City and Cork County","2011","house_apart","absolute total","static",14787,"house_type"
"Cork City and Cork County","2011","house_detach","absolute total","static",84204,"house_type"
"Cork City and Cork County","2011","house_none","absolute total","static",2736,"house_type"
"Cork City and Cork County","2011","house_scheme","absolute total","static",85828,"house_type"
"Cork City and Cork County","2011","tenure_all","absolute total","static",187555,"tenure"
"Cork City and Cork County","2011","tenure_mort","absolute total","static",63143,"tenure"
"Cork City and Cork County","2011","tenure_other","absolute total","static",5934,"tenure"
"Cork City and Cork County","2011","tenure_owner","absolute total","static",67131,"tenure"
"Cork City and Cork County","2011","tenure_rent","absolute total","static",35195,"tenure"
"Cork City and Cork County","2011","tenure_social","absolute total","static",16152,"tenure"
"DLR","2011","All types of sewerage","absolute total","static",75786,"sewerage"
"DLR","2011","Individual septic tank","absolute total","static",1480,"sewerage"
"DLR","2011","Individual treatment not septic tank","absolute total","static",223,"sewerage"
"DLR","2011","No sewerage facility","absolute total","static",32,"sewerage"
"DLR","2011","Not stated","absolute total","static",2445,"sewerage"
"DLR","2011","Other type of sewage","absolute total","static",225,"sewerage"
"DLR","2011","Public scheme","absolute total","static",71381,"sewerage"
"DLR","2011","built_all","absolute total","static",75786,"built"
"DLR","2011","built_none","absolute total","static",3676,"built"
"DLR","2011","built_p19_70","absolute total","static",31709,"built"
"DLR","2011","built_p2016","absolute total","static",0,"built"
"DLR","2011","built_y70_90","absolute total","static",19573,"built"
"DLR","2011","built_y91_15","absolute total","static",20828,"built"
"DLR","2011","house_all","absolute total","static",75786,"house_type"
"DLR","2011","house_apart","absolute total","static",14883,"house_type"
"DLR","2011","house_detach","absolute total","static",16598,"house_type"
"DLR","2011","house_none","absolute total","static",1100,"house_type"
"DLR","2011","house_scheme","absolute total","static",43205,"house_type"
"DLR","2011","tenure_all","absolute total","static",75786,"tenure"
"DLR","2011","tenure_mort","absolute total","static",26305,"tenure"
"DLR","2011","tenure_other","absolute total","static",2058,"tenure"
"DLR","2011","tenure_owner","absolute total","static",27261,"tenure"
"DLR","2011","tenure_rent","absolute total","static",15152,"tenure"
"DLR","2011","tenure_social","absolute total","static",5010,"tenure"
"Donegal","2011","All types of sewerage","absolute total","static",57721,"sewerage"
"Donegal","2011","Individual septic tank","absolute total","static",30383,"sewerage"
"Donegal","2011","Individual treatment not septic tank","absolute total","static",1976,"sewerage"
"Donegal","2011","No sewerage facility","absolute total","static",80,"sewerage"
"Donegal","2011","Not stated","absolute total","static",1571,"sewerage"
"Donegal","2011","Other type of sewage","absolute total","static",596,"sewerage"
"Donegal","2011","Public scheme","absolute total","static",23115,"sewerage"
"Donegal","2011","built_all","absolute total","static",57721,"built"
"Donegal","2011","built_none","absolute total","static",1668,"built"
"Donegal","2011","built_p19_70","absolute total","static",13868,"built"
"Donegal","2011","built_p2016","absolute total","static",0,"built"
"Donegal","2011","built_y70_90","absolute total","static",14556,"built"
"Donegal","2011","built_y91_15","absolute total","static",27629,"built"
"Donegal","2011","house_all","absolute total","static",57721,"house_type"
"Donegal","2011","house_apart","absolute total","static",1994,"house_type"
