"","county","year","var_name","magnitude","temporal","value"
"1","Carlow","2011","coup_pers_hh","absolute total","static",7076
"2","Carlow","2011","coup_kid_pers_hh","absolute total","static",29228
"3","Carlow","2011","fam_mult_pers_hh","absolute total","static",1075
"4","Carlow","2011","fam_oth_pers_hh","absolute total","static",4056
"5","Carlow","2011","h_shr_pers_hh","absolute total","static",2595
"6","Carlow","2011","lone_kid_pers_hh","absolute total","static",5816
"7","Carlow","2011","sing_pers_hh","absolute total","static",4341
"8","Cavan","2011","coup_pers_hh","absolute total","static",9450
"9","Cavan","2011","coup_kid_pers_hh","absolute total","static",41906
"10","Cavan","2011","fam_mult_pers_hh","absolute total","static",1214
"11","Cavan","2011","fam_oth_pers_hh","absolute total","static",4615
"12","Cavan","2011","h_shr_pers_hh","absolute total","static",2378
"13","Cavan","2011","lone_kid_pers_hh","absolute total","static",6728
"14","Cavan","2011","sing_pers_hh","absolute total","static",6334
"15","Clare","2011","coup_pers_hh","absolute total","static",16392
"16","Clare","2011","coup_kid_pers_hh","absolute total","static",64723
"17","Clare","2011","fam_mult_pers_hh","absolute total","static",1519
"18","Clare","2011","fam_oth_pers_hh","absolute total","static",6503
"19","Clare","2011","h_shr_pers_hh","absolute total","static",4482
"20","Clare","2011","lone_kid_pers_hh","absolute total","static",11276
"21","Clare","2011","sing_pers_hh","absolute total","static",10692
"22","Cork City and Cork County","2011","coup_pers_hh","absolute total","static",71164
"23","Cork City and Cork County","2011","coup_kid_pers_hh","absolute total","static",274556
"24","Cork City and Cork County","2011","fam_mult_pers_hh","absolute total","static",9079
"25","Cork City and Cork County","2011","fam_oth_pers_hh","absolute total","static",31029
"26","Cork City and Cork County","2011","h_shr_pers_hh","absolute total","static",30136
"27","Cork City and Cork County","2011","lone_kid_pers_hh","absolute total","static",51609
"28","Cork City and Cork County","2011","sing_pers_hh","absolute total","static",44727
"29","DLR","2011","coup_pers_hh","absolute total","static",33094
"30","DLR","2011","coup_kid_pers_hh","absolute total","static",101804
"31","DLR","2011","fam_mult_pers_hh","absolute total","static",4176
"32","DLR","2011","fam_oth_pers_hh","absolute total","static",12746
"33","DLR","2011","h_shr_pers_hh","absolute total","static",14979
"34","DLR","2011","lone_kid_pers_hh","absolute total","static",18359
"35","DLR","2011","sing_pers_hh","absolute total","static",17436
"36","Donegal","2011","coup_pers_hh","absolute total","static",20528
"37","Donegal","2011","coup_kid_pers_hh","absolute total","static",89012
"38","Donegal","2011","fam_mult_pers_hh","absolute total","static",3106
"39","Donegal","2011","fam_oth_pers_hh","absolute total","static",7587
"40","Donegal","2011","h_shr_pers_hh","absolute total","static",5313
"41","Donegal","2011","lone_kid_pers_hh","absolute total","static",18703
"42","Donegal","2011","sing_pers_hh","absolute total","static",14890
"43","Dublin City","2011","coup_pers_hh","absolute total","static",76940
"44","Dublin City","2011","coup_kid_pers_hh","absolute total","static",172165
"45","Dublin City","2011","fam_mult_pers_hh","absolute total","static",17695
"46","Dublin City","2011","fam_oth_pers_hh","absolute total","static",39469
"47","Dublin City","2011","h_shr_pers_hh","absolute total","static",67211
"48","Dublin City","2011","lone_kid_pers_hh","absolute total","static",62384
"49","Dublin City","2011","sing_pers_hh","absolute total","static",63795
"50","Fingal","2011","coup_pers_hh","absolute total","static",35836
"51","Fingal","2011","coup_kid_pers_hh","absolute total","static",148631
