"","county","year","var_name","magnitude","temporal","value"
"1","Carlow","2011","All types of sewerage","absolute total","static",19365
"2","Carlow","2011","Individual septic tank","absolute total","static",6260
"3","Carlow","2011","Individual treatment not septic tank","absolute total","static",825
"4","Carlow","2011","No sewerage facility","absolute total","static",30
"5","Carlow","2011","Not stated","absolute total","static",730
"6","Carlow","2011","Other type of sewage","absolute total","static",105
"7","Carlow","2011","Public scheme","absolute total","static",11415
"8","Carlow","2011","built_all","absolute total","static",19365
"9","Carlow","2011","built_none","absolute total","static",1007
"10","Carlow","2011","built_p19_70","absolute total","static",5666
"11","Carlow","2011","built_p2016","absolute total","static",0
"12","Carlow","2011","built_y70_90","absolute total","static",4029
"13","Carlow","2011","built_y91_15","absolute total","static",8663
"14","Carlow","2011","house_all","absolute total","static",19365
"15","Carlow","2011","house_apart","absolute total","static",904
"16","Carlow","2011","house_detach","absolute total","static",10003
"17","Carlow","2011","house_none","absolute total","static",410
"18","Carlow","2011","house_scheme","absolute total","static",8048
"19","Carlow","2011","tenure_all","absolute total","static",19365
"20","Carlow","2011","tenure_mort","absolute total","static",6669
"21","Carlow","2011","tenure_other","absolute total","static",628
"22","Carlow","2011","tenure_owner","absolute total","static",7015
"23","Carlow","2011","tenure_rent","absolute total","static",3064
"24","Carlow","2011","tenure_social","absolute total","static",1989
"25","Cavan","2011","All types of sewerage","absolute total","static",25720
"26","Cavan","2011","Individual septic tank","absolute total","static",12078
"27","Cavan","2011","Individual treatment not septic tank","absolute total","static",2240
"28","Cavan","2011","No sewerage facility","absolute total","static",98
"29","Cavan","2011","Not stated","absolute total","static",913
"30","Cavan","2011","Other type of sewage","absolute total","static",159
"31","Cavan","2011","Public scheme","absolute total","static",10232
"32","Cavan","2011","built_all","absolute total","static",25720
"33","Cavan","2011","built_none","absolute total","static",941
"34","Cavan","2011","built_p19_70","absolute total","static",7330
"35","Cavan","2011","built_p2016","absolute total","static",0
"36","Cavan","2011","built_y70_90","absolute total","static",4702
"37","Cavan","2011","built_y91_15","absolute total","static",12747
"38","Cavan","2011","house_all","absolute total","static",25720
"39","Cavan","2011","house_apart","absolute total","static",920
"40","Cavan","2011","house_detach","absolute total","static",17319
"41","Cavan","2011","house_none","absolute total","static",492
"42","Cavan","2011","house_scheme","absolute total","static",6989
"43","Cavan","2011","tenure_all","absolute total","static",25720
"44","Cavan","2011","tenure_mort","absolute total","static",9174
"45","Cavan","2011","tenure_other","absolute total","static",922
"46","Cavan","2011","tenure_owner","absolute total","static",9908
"47","Cavan","2011","tenure_rent","absolute total","static",3893
"48","Cavan","2011","tenure_social","absolute total","static",1823
"49","Clare","2011","All types of sewerage","absolute total","static",42534
"50","Clare","2011","Individual septic tank","absolute total","static",17121
"51","Clare","2011","Individual treatment not septic tank","absolute total","static",2260
"52","Clare","2011","No sewerage facility","absolute total","static",148
"53","Clare","2011","Not stated","absolute total","static",1376
"54","Clare","2011","Other type of sewage","absolute total","static",388
"55","Clare","2011","Public scheme","absolute total","static",21241
"56","Clare","2011","built_all","absolute total","static",42534
"57","Clare","2011","built_none","absolute total","static",1675
"58","Clare","2011","built_p19_70","absolute total","static",12068
"59","Clare","2011","built_p2016","absolute total","static",0
"60","Clare","2011","built_y70_90","absolute total","static",10500
"61","Clare","2011","built_y91_15","absolute total","static",18291
"62","Clare","2011","house_all","absolute total","static",42534
"63","Clare","2011","house_apart","absolute total","static",2003
"64","Clare","2011","house_detach","absolute total","static",25180
"65","Clare","2011","house_none","absolute total","static",691
"66","Clare","2011","house_scheme","absolute total","static",14660
"67","Clare","2011","tenure_all","absolute total","static",42534
"68","Clare","2011","tenure_mort","absolute total","static",15493
"69","Clare","2011","tenure_other","absolute total","static",1414
"70","Clare","2011","tenure_owner","absolute total","static",16913
"71","Clare","2011","tenure_rent","absolute total","static",6056
"72","Clare","2011","tenure_social","absolute total","static",2658
"73","Cork City and Cork County","2011","All types of sewerage","absolute total","static",187555
"74","Cork City and Cork County","2011","Individual septic tank","absolute total","static",52438
"75","Cork City and Cork County","2011","Individual treatment not septic tank","absolute total","static",4902
"76","Cork City and Cork County","2011","No sewerage facility","absolute total","static",375
"77","Cork City and Cork County","2011","Not stated","absolute total","static",6118
"78","Cork City and Cork County","2011","Other type of sewage","absolute total","static",1239
"79","Cork City and Cork County","2011","Public scheme","absolute total","static",122483
"80","Cork City and Cork County","2011","built_all","absolute total","static",187555
"81","Cork City and Cork County","2011","built_none","absolute total","static",9943
"82","Cork City and Cork County","2011","built_p19_70","absolute total","static",62607
"83","Cork City and Cork County","2011","built_p2016","absolute total","static",0
"84","Cork City and Cork County","2011","built_y70_90","absolute total","static",41962
"85","Cork City and Cork County","2011","built_y91_15","absolute total","static",73043
"86","Cork City and Cork County","2011","house_all","absolute total","static",187555
