"","year","county","var_name","value","magnitude","temporal"
"1","2011","Carlow","age_15_64",36252,"absolute total","static"
"2","2011","Carlow","age_over65",6211,"absolute total","static"
"3","2011","Carlow","age_under15",12149,"absolute total","static"
"4","2011","Cavan","age_15_64",47085,"absolute total","static"
"5","2011","Cavan","age_over65",8866,"absolute total","static"
"6","2011","Cavan","age_under15",17232,"absolute total","static"
"7","2011","Clare","age_15_64",76596,"absolute total","static"
"8","2011","Clare","age_over65",14519,"absolute total","static"
"9","2011","Clare","age_under15",26081,"absolute total","static"
"10","2011","Cork City and Cork County","age_15_64",347149,"absolute total","static"
"11","2011","Cork City and Cork County","age_over65",62380,"absolute total","static"
"12","2011","Cork City and Cork County","age_under15",109503,"absolute total","static"
"13","2011","DLR","age_15_64",138854,"absolute total","static"
"14","2011","DLR","age_over65",29872,"absolute total","static"
"15","2011","DLR","age_under15",37535,"absolute total","static"
"16","2011","Donegal","age_15_64",102717,"absolute total","static"
"17","2011","Donegal","age_over65",21471,"absolute total","static"
"18","2011","Donegal","age_under15",36949,"absolute total","static"
"19","2011","Dublin City","age_15_64",381093,"absolute total","static"
"20","2011","Dublin City","age_over65",66490,"absolute total","static"
"21","2011","Dublin City","age_under15",80029,"absolute total","static"
"22","2011","Fingal","age_15_64",187723,"absolute total","static"
"23","2011","Fingal","age_over65",19861,"absolute total","static"
"24","2011","Fingal","age_under15",66407,"absolute total","static"
"25","2011","Galway City","age_15_64",55977,"absolute total","static"
"26","2011","Galway City","age_over65",7059,"absolute total","static"
"27","2011","Galway City","age_under15",12493,"absolute total","static"
"28","2011","Galway County","age_15_64",113441,"absolute total","static"
"29","2011","Galway County","age_over65",21990,"absolute total","static"
"30","2011","Galway County","age_under15",39693,"absolute total","static"
"31","2011","Kerry","age_15_64",95162,"absolute total","static"
"32","2011","Kerry","age_over65",20988,"absolute total","static"
"33","2011","Kerry","age_under15",29352,"absolute total","static"
"34","2011","Kildare","age_15_64",142088,"absolute total","static"
"35","2011","Kildare","age_over65",16656,"absolute total","static"
"36","2011","Kildare","age_under15",51568,"absolute total","static"
"37","2011","Kilkenny","age_15_64",62529,"absolute total","static"
"38","2011","Kilkenny","age_over65",11690,"absolute total","static"
"39","2011","Kilkenny","age_under15",21200,"absolute total","static"
"40","2011","Laois","age_15_64",52546,"absolute total","static"
"41","2011","Laois","age_over65",8100,"absolute total","static"
"42","2011","Laois","age_under15",19913,"absolute total","static"
"43","2011","Leitrim","age_15_64",20213,"absolute total","static"
"44","2011","Leitrim","age_over65",4706,"absolute total","static"
"45","2011","Leitrim","age_under15",6879,"absolute total","static"
"46","2011","Limerick City and County","age_15_64",129432,"absolute total","static"
"47","2011","Limerick City and County","age_over65",23313,"absolute total","static"
"48","2011","Limerick City and County","age_under15",39064,"absolute total","static"
"49","2011","Longford","age_15_64",25072,"absolute total","static"
"50","2011","Longford","age_over65",4883,"absolute total","static"
"51","2011","Longford","age_under15",9045,"absolute total","static"
"52","2011","Louth","age_15_64",80758,"absolute total","static"
"53","2011","Louth","age_over65",13477,"absolute total","static"
"54","2011","Louth","age_under15",28662,"absolute total","static"
"55","2011","Mayo","age_15_64",83786,"absolute total","static"
"56","2011","Mayo","age_over65",19539,"absolute total","static"
"57","2011","Mayo","age_under15",27313,"absolute total","static"
"58","2011","Meath","age_15_64",121347,"absolute total","static"
"59","2011","Meath","age_over65",16322,"absolute total","static"
"60","2011","Meath","age_under15",46466,"absolute total","static"
"61","2011","Monaghan","age_15_64",39533,"absolute total","static"
"62","2011","Monaghan","age_over65",7460,"absolute total","static"
"63","2011","Monaghan","age_under15",13490,"absolute total","static"
"64","2011","Offaly","age_15_64",49823,"absolute total","static"
"65","2011","Offaly","age_over65",8909,"absolute total","static"
"66","2011","Offaly","age_under15",17955,"absolute total","static"
"67","2011","Roscommon","age_15_64",41089,"absolute total","static"
"68","2011","Roscommon","age_over65",9396,"absolute total","static"
"69","2011","Roscommon","age_under15",13580,"absolute total","static"
"70","2011","Sligo","age_15_64",43241,"absolute total","static"
"71","2011","Sligo","age_over65",9043,"absolute total","static"
"72","2011","Sligo","age_under15",13109,"absolute total","static"
"73","2011","South Dublin","age_15_64",180871,"absolute total","static"
"74","2011","South Dublin","age_over65",23053,"absolute total","static"
"75","2011","South Dublin","age_under15",61281,"absolute total","static"
"76","2011","State","age_15_64",3073269,"absolute total","static"
"77","2011","State","age_over65",535393,"absolute total","static"
"78","2011","State","age_under15",979590,"absolute total","static"
"79","2011","Tipperary","age_15_64",103172,"absolute total","static"
"80","2011","Tipperary","age_over65",21196,"absolute total","static"
"81","2011","Tipperary","age_under15",34386,"absolute total","static"
"82","2011","Waterford City and County","age_15_64",74436,"absolute total","static"
"83","2011","Waterford City and County","age_over65",14779,"absolute total","static"
"84","2011","Waterford City and County","age_under15",24580,"absolute total","static"
"85","2011","Westmeath","age_15_64",56928,"absolute total","static"
"86","2011","Westmeath","age_over65",9796,"absolute total","static"
"87","2011","Westmeath","age_under15",19440,"absolute total","static"
"88","2011","Wexford","age_15_64",93889,"absolute total","static"
"89","2011","Wexford","age_over65",18367,"absolute total","static"
"90","2011","Wexford","age_under15",33064,"absolute total","static"
"91","2011","Wicklow","age_15_64",90467,"absolute total","static"
"92","2011","Wicklow","age_over65",15001,"absolute total","static"
"93","2011","Wicklow","age_under15",31172,"absolute total","static"
"94","2016","Carlow","age_15_64",36964,"absolute total","static"
"95","2016","Carlow","age_over65",7357,"absolute total","static"
"96","2016","Carlow","age_under15",12611,"absolute total","static"
"97","2016","Cavan","age_15_64",48090,"absolute total","static"
"98","2016","Cavan","age_over65",10464,"absolute total","static"
"99","2016","Cavan","age_under15",17622,"absolute total","static"
"100","2016","Clare","age_15_64",75590,"absolute total","static"
"101","2016","Clare","age_over65",17655,"absolute total","static"
