"","county.and.city","hhs_2011","hhs_2016","hhs_2022","perhh_2011","perhh_2016","perhh_2022","pop_2006","pop_2011","pop_2016","pop_2022","hhsize_2011","hhsize_2016","hhsize_2022","rel_hhs_2011_2016","rel_hhs_2011_2022","rel_hhs_2016_2022","rel_perhh_2011_2016","rel_perhh_2011_2022","rel_perhh_2016_2022","rel_pop_2011_2016","rel_pop_2011_2022","rel_pop_2016_2022","abs_hhs_2011_2016","abs_hhs_2011_2022","abs_hhs_2016_2022","abs_perhh_2011_2016","abs_perhh_2011_2022","abs_perhh_2016_2022","abs_pop_2011_2016","abs_pop_2011_2022","abs_pop_2016_2022"
"1","Carlow",19436,20537,22238,54187,56609,61546,50349,54612,56932,61968,2.78797077587981,2.75643959682524,2.76760500044968,5.665,14.417,8.283,4.47,13.581,8.721,4.248,13.47,8.846,1101,2802,1701,2422,7359,4937,2320,7356,5036
"2","Cavan",25818,26899,28845,72625,75285,80749,64003,73183,76176,81704,2.81295995042219,2.79880292947693,2.79941064309239,4.187,11.724,7.234,3.663,11.186,7.258,4.09,11.643,7.257,1081,3027,1946,2660,8124,5464,2993,8521,5528
"3","Clare",42648,43469,46553,115587,116920,124129,110950,117196,118817,127938,2.71025604952167,2.68973291311049,2.66640173565613,1.925,9.156,7.095,1.153,7.39,6.166,1.383,9.166,7.677,821,3905,3084,1333,8542,7209,1621,10742,9121
"4","Cork City and Cork County",188019,195853,211362,512300,535042,575441,481295,519032,542868,584156,2.72472462889389,2.73185501370926,2.72253763685052,4.167,12.415,7.919,4.439,12.325,7.551,4.592,12.547,7.606,7834,23343,15509,22742,63141,40399,23836,65124,41288
"5","DLR",75819,78601,85128,202594,213468,230782,194038,206261,218018,233860,2.67207428217201,2.71584330988155,2.71099990602387,3.669,12.278,8.304,5.367,13.914,8.111,5.7,13.381,7.266,2782,9309,6527,10874,28188,17314,11757,27599,15842
"6","Donegal",57964,58505,61780,159139,157276,164501,147264,161137,159192,167084,2.74547995307432,2.68824886761815,2.66269019100032,0.933,6.583,5.598,-1.171,3.369,4.594,-1.207,3.691,4.958,541,3816,3275,-1863,5362,7225,-1945,5947,7892
"7","Dublin City",208008,211747,225685,499659,525229,560493,506211,527612,554554,592713,2.40211434175609,2.48045544919172,2.48351906418238,1.798,8.498,6.582,5.117,12.175,6.714,5.106,12.339,6.881,3739,17677,13938,25570,60834,35264,26942,65101,38159
"8","Fingal",93146,96812,107846,271958,292989,325642,239992,273991,296020,330506,2.91969596117922,3.02637069784737,3.01950930029857,3.936,15.782,11.397,7.733,19.74,11.145,8.04,20.627,11.65,3666,14700,11034,21031,53684,32653,22029,56515,34486
"9","Galway City",27726,28859,30901,70918,74376,80918,72414,75529,78668,84414,2.55781576859266,2.57722027790291,2.61862075660982,4.086,11.451,7.076,4.876,14.101,8.796,4.156,11.764,7.304,1133,3175,2042,3458,10000,6542,3139,8885,5746
"10","Galway County",60952,63040,68021,172308,177145,190961,159256,175124,179390,193323,2.82694579341121,2.81004124365482,2.80738301406918,3.426,11.598,7.901,2.807,10.825,7.799,2.436,10.392,7.767,2088,7069,4981,4837,18653,13816,4266,18199,13933
"11","Kerry",53306,54493,58317,140975,141596,150149,139835,145502,147707,156458,2.64463662627096,2.59842548584222,2.57470377419963,2.227,9.4,7.017,0.441,6.508,6.04,1.515,7.53,5.925,1187,5011,3824,621,9174,8553,2205,10956,8751
"12","Kildare",70763,73596,82793,208522,220923,246285,186335,210312,222504,247774,2.94676596526433,3.00183433882276,2.97470800671554,4.004,17,12.497,5.947,18.11,11.48,5.797,17.813,11.357,2833,12030,9197,12401,37763,25362,12192,37462,25270
"13","Kilkenny",33679,34855,36787,94342,97536,102286,87558,95419,99232,104160,2.80121143739422,2.79833596327643,2.78049310897872,3.492,9.228,5.543,3.386,8.42,4.87,3.996,9.161,4.966,1176,3108,1932,3194,7944,4750,3813,8741,4928
"14","Laois",28020,29107,31232,79751,83534,90499,67059,80559,84697,91877,2.84621698786581,2.86989383996977,2.89763703893443,3.879,11.463,7.301,4.744,13.477,8.338,5.137,14.049,8.477,1087,3212,2125,3783,10748,6965,4138,11318,7180
"15","Leitrim",12308,12452,13630,31556,31721,34808,28950,31798,32044,35199,2.56386090347741,2.54746225505943,2.55377842993397,1.17,10.741,9.46,0.523,10.305,9.732,0.774,10.696,9.846,144,1322,1178,165,3252,3087,246,3401,3155
"16","Limerick City and County",69649,71224,76472,187560,192184,206192,184055,191809,194899,209536,2.69293170038335,2.69830394249129,2.69630714509886,2.261,9.796,7.368,2.465,9.934,7.289,1.611,9.242,7.51,1575,6823,5248,4624,18632,14008,3090,17727,14637
"17","Longford",14453,15122,16229,38986,40775,43920,34391,39000,40873,46751,2.69743305888051,2.6964025922497,2.70626655986198,4.629,12.288,7.32,4.589,12.656,7.713,4.803,19.874,14.381,669,1776,1107,1789,4934,3145,1873,7751,5878
"18","Louth",43972,45448,49424,122339,127751,138449,111267,122897,128884,139703,2.78220231056127,2.81092677345538,2.8012504046617,3.357,12.399,8.748,4.424,13.168,8.374,4.872,13.675,8.394,1476,5452,3976,5412,16110,10698,5987,16806,10819
"19","Mayo",48070,48899,52114,128492,127767,135129,123839,130638,130507,137970,2.67301851466611,2.61287551892677,2.5929500709982,1.725,8.413,6.575,-0.564,5.165,5.762,-0.1,5.612,5.718,829,4044,3215,-725,6637,7362,-131,7332,7463
"20","Meath",62201,64234,72977,184336,194400,220042,162831,184135,195044,220826,2.96355364061671,3.02643459849924,3.01522397467695,3.268,17.324,13.611,5.46,19.37,13.19,5.924,19.926,13.219,2033,10776,8743,10064,35706,25642,10909,36691,25782
"21","Monaghan",21264,21689,22958,60473,61328,64429,55997,60483,61386,65288,2.84391459744169,2.82760846512057,2.80638557365624,1.999,7.967,5.851,1.414,6.542,5.056,1.493,7.944,6.356,425,1694,1269,855,3956,3101,903,4805,3902
"22","Offaly",26750,27343,28923,76274,77755,82142,70868,76687,77961,83150,2.85136448598131,2.84368942691,2.84002351070083,2.217,8.123,5.778,1.942,7.693,5.642,1.661,8.428,6.656,593,2173,1580,1481,5868,4387,1274,6463,5189
"23","Roscommon",23672,24013,26021,63311,63684,69079,58768,64065,64544,70259,2.67450996958432,2.65206346562279,2.65474040198301,1.441,9.923,8.362,0.589,9.111,8.472,0.748,9.668,8.854,341,2349,2008,373,5768,5395,479,6194,5715
"24","Sligo",24525,24831,26855,63667,63656,68189,60894,65393,65535,70198,2.59600407747197,2.56356973138416,2.53915471979147,1.248,9.501,8.151,-0.017,7.103,7.121,0.217,7.348,7.115,306,2330,2024,-11,4522,4533,142,4805,4663
"25","South Dublin",90019,92523,100364,263723,277168,298125,246935,265205,278767,301075,2.92963707661716,2.9956659425224,2.97043760711012,2.782,11.492,8.475,5.098,13.045,7.561,5.114,13.525,8.002,2504,10345,7841,13445,34402,20957,13562,35870,22308
"26","State",1654208,1702289,1841152,4510409,4676648,5046681,4239848,4588252,4761865,5149139,2.72662748578172,2.74727029311709,2.74104528034622,2.907,11.301,8.157,3.686,11.89,7.912,3.784,12.224,8.133,48081,186944,138863,166239,536272,370033,173613,560887,387274
"27","Tipperary",58497,59276,62232,158089,158933,166458,149244,158754,159553,167895,2.7025146588714,2.68123692556853,2.67479753181643,1.332,6.385,4.987,0.534,5.294,4.735,0.503,5.758,5.228,779,3735,2956,844,8369,7525,799,9141,8342
"28","Waterford City and County",42335,43549,47778,112261,114402,125355,107961,113795,116176,127363,2.65173024684068,2.62697191669154,2.62369709908326,2.868,12.857,9.711,1.907,11.664,9.574,2.092,11.923,9.629,1214,5443,4229,2141,13094,10953,2381,13568,11187
"29","Westmeath",30739,31813,34087,84869,87887,94663,79346,86164,88770,96221,2.7609551384235,2.76261276836513,2.77709977410743,3.494,10.892,7.148,3.556,11.54,7.71,3.024,11.672,8.394,1074,3348,2274,3018,9794,6776,2606,10057,7451
"30","Wexford",52652,54289,59389,144349,148331,161526,131749,145320,149722,163919,2.7415672718985,2.73224778500249,2.7197965953291,3.109,12.795,9.394,2.759,11.9,8.896,3.029,12.799,9.482,1637,6737,5100,3982,17177,13195,4402,18599,14197
"31","Wicklow",47798,49211,54211,135259,140978,153794,126194,136640,142425,155851,2.82980459433449,2.86476600759993,2.83695191012894,2.956,13.417,10.16,4.228,13.703,9.091,4.234,14.06,9.427,1413,6413,5000,5719,18535,12816,5785,19211,13426
