"county","year","var_name","magnitude","temporal","value","category"
"Carlow","2016Q2-2022Q1","new_build_all","absolute_total","static",1100,"new_dwelling_completions"
"Cavan","2016Q2-2022Q1","new_build_all","absolute_total","static",1003,"new_dwelling_completions"
"Clare","2016Q2-2022Q1","new_build_all","absolute_total","static",2017,"new_dwelling_completions"
"Cork","2016Q2-2022Q1","new_build_all","absolute_total","static",11187,"new_dwelling_completions"
"DLR","2016Q2-2022Q1","new_build_all","absolute_total","static",7085,"new_dwelling_completions"
"Donegal","2016Q2-2022Q1","new_build_all","absolute_total","static",2645,"new_dwelling_completions"
"Dublin City","2016Q2-2022Q1","new_build_all","absolute_total","static",11209,"new_dwelling_completions"
"Fingal","2016Q2-2022Q1","new_build_all","absolute_total","static",10799,"new_dwelling_completions"
"Galway City","2016Q2-2022Q1","new_build_all","absolute_total","static",1158,"new_dwelling_completions"
"Galway County","2016Q2-2022Q1","new_build_all","absolute_total","static",3907,"new_dwelling_completions"
"Kerry","2016Q2-2022Q1","new_build_all","absolute_total","static",2501,"new_dwelling_completions"
"Kildare","2016Q2-2022Q1","new_build_all","absolute_total","static",8630,"new_dwelling_completions"
"Kilkenny","2016Q2-2022Q1","new_build_all","absolute_total","static",1606,"new_dwelling_completions"
"Laois","2016Q2-2022Q1","new_build_all","absolute_total","static",1474,"new_dwelling_completions"
"Leitrim","2016Q2-2022Q1","new_build_all","absolute_total","static",365,"new_dwelling_completions"
"Limerick","2016Q2-2022Q1","new_build_all","absolute_total","static",3027,"new_dwelling_completions"
"Longford","2016Q2-2022Q1","new_build_all","absolute_total","static",568,"new_dwelling_completions"
"Louth","2016Q2-2022Q1","new_build_all","absolute_total","static",3291,"new_dwelling_completions"
"Mayo","2016Q2-2022Q1","new_build_all","absolute_total","static",2089,"new_dwelling_completions"
"Meath","2016Q2-2022Q1","new_build_all","absolute_total","static",7828,"new_dwelling_completions"
"Monaghan","2016Q2-2022Q1","new_build_all","absolute_total","static",1102,"new_dwelling_completions"
"Offaly","2016Q2-2022Q1","new_build_all","absolute_total","static",1118,"new_dwelling_completions"
"Roscommon","2016Q2-2022Q1","new_build_all","absolute_total","static",897,"new_dwelling_completions"
"Sligo","2016Q2-2022Q1","new_build_all","absolute_total","static",841,"new_dwelling_completions"
"South Dublin","2016Q2-2022Q1","new_build_all","absolute_total","static",7523,"new_dwelling_completions"
"State","2016Q2-2022Q1","new_build_all","absolute_total","static",107924,"new_dwelling_completions"
"Tipperary","2016Q2-2022Q1","new_build_all","absolute_total","static",1514,"new_dwelling_completions"
"Waterford","2016Q2-2022Q1","new_build_all","absolute_total","static",2479,"new_dwelling_completions"
"Westmeath","2016Q2-2022Q1","new_build_all","absolute_total","static",1236,"new_dwelling_completions"
"Wexford","2016Q2-2022Q1","new_build_all","absolute_total","static",3177,"new_dwelling_completions"
"Wicklow","2016Q2-2022Q1","new_build_all","absolute_total","static",4548,"new_dwelling_completions"
"Carlow","2016Q2-2022Q1","new_build_apartment","absolute_total","static",24,"new_dwelling_completions"
"Cavan","2016Q2-2022Q1","new_build_apartment","absolute_total","static",59,"new_dwelling_completions"
"Clare","2016Q2-2022Q1","new_build_apartment","absolute_total","static",66,"new_dwelling_completions"
"Cork","2016Q2-2022Q1","new_build_apartment","absolute_total","static",740,"new_dwelling_completions"
"DLR","2016Q2-2022Q1","new_build_apartment","absolute_total","static",4058,"new_dwelling_completions"
"Donegal","2016Q2-2022Q1","new_build_apartment","absolute_total","static",198,"new_dwelling_completions"
"Dublin City","2016Q2-2022Q1","new_build_apartment","absolute_total","static",7654,"new_dwelling_completions"
"Fingal","2016Q2-2022Q1","new_build_apartment","absolute_total","static",2325,"new_dwelling_completions"
"Galway City","2016Q2-2022Q1","new_build_apartment","absolute_total","static",222,"new_dwelling_completions"
"Galway County","2016Q2-2022Q1","new_build_apartment","absolute_total","static",201,"new_dwelling_completions"
"Kerry","2016Q2-2022Q1","new_build_apartment","absolute_total","static",169,"new_dwelling_completions"
"Kildare","2016Q2-2022Q1","new_build_apartment","absolute_total","static",407,"new_dwelling_completions"
"Kilkenny","2016Q2-2022Q1","new_build_apartment","absolute_total","static",164,"new_dwelling_completions"
"Laois","2016Q2-2022Q1","new_build_apartment","absolute_total","static",67,"new_dwelling_completions"
"Leitrim","2016Q2-2022Q1","new_build_apartment","absolute_total","static",30,"new_dwelling_completions"
"Limerick","2016Q2-2022Q1","new_build_apartment","absolute_total","static",167,"new_dwelling_completions"
"Longford","2016Q2-2022Q1","new_build_apartment","absolute_total","static",40,"new_dwelling_completions"
"Louth","2016Q2-2022Q1","new_build_apartment","absolute_total","static",247,"new_dwelling_completions"
"Mayo","2016Q2-2022Q1","new_build_apartment","absolute_total","static",86,"new_dwelling_completions"
"Meath","2016Q2-2022Q1","new_build_apartment","absolute_total","static",231,"new_dwelling_completions"
"Monaghan","2016Q2-2022Q1","new_build_apartment","absolute_total","static",65,"new_dwelling_completions"
"Offaly","2016Q2-2022Q1","new_build_apartment","absolute_total","static",44,"new_dwelling_completions"
